Satellite_Tag_Num,Project_Year,Project_Type,Project_Name,Location,Start_Transmission,End_Transmission,Data_Days,Seal_ID,NickName,Size,Sex,Other_tags,Handling,
79739,2008,translocation control ?,2008-09-translocation TN-control??,,?,?,0?,GO28,,J2,F,,03/06/08,
79737,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,05/05/08,74,GO36,,J1,F,,03/03/08,
79734,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/22/08,10/12/08,232,GO38,,J1,F,,03/07/08,
79729,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,03/24/08,32,GO40,,J1,F,,03/03/08,
79731,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,12/29/09,311,GO80,,J1,M,,03/06/08,
79738,2008,translocation control ?,2008-09-translocation TN-control??,LIS,03/04/08,04/03/08,29,GV08,,S3,F,,03/04/08,
79741,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/22/08,06/20/08,118,GV16,,S3,M,,03/05/08,
79735,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,09/12/08,204,GV18,,J2,F,,03/07/08,
79736,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/22/08,11/05/09,310,GV38,,S3,M,,03/05/08,
79746,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,08/22/08,182,GV40,,S3,F,,03/05/08,
79770,2008,translocation control ?,2008-09-translocation TN-control??,LIS,02/21/08,07/19/08,149,TO08,,J2,M,,03/08/08,
,,,,,,,,,,,,,,
131444,2013,translocation,Trans-Surv-Enhance,LAY,01/02/13,12/02/13,334,one of 6,,W,F,,,
131447,2013,translocation,Trans-Surv-Enhance,LAY,06/26/13,11/15/13,142,one of 6,,W,F,,,
131448,2013,translocation,Trans-Surv-Enhance,LAY,06/26/13,12/03/13,160,one of 6,,W,F,,,
